13 31 73
75	79	36	50	85	51	32	23	41	100
50	11	52	3	76	100	16	99	95	52
82	41	48	14	71	29	5	88	91	2
10	77	27	54	40	49	85	40	51	64
22	88	31	28	97	27	4	49	10	26
83	9	19	73	11	85	89	66	32	97
32	47	1	61	31	71	7	30	9	24
97	16	14	42	19	74	10	44	83	61
84	50	52	8	12	35	53	54	17	17
9	50	47	100	45	40	3	44	81	24
94	98	43	88	36	13	59	15	79	83
57	73	80	25	31	6	54	40	94	34
10	52	33	32	87	16	22	66	83	62
69	65	85	69	45	11	15	72	90	37
65	40	37	8	17	68	26	59	47	69
57	21	45	11	21	21	13	71	92	29
94	98	75	38	99	79	100	97	15	27
37	1	3	22	84	63	84	29	100	18
77	27	97	60	13	93	4	34	31	47
46	88	72	33	66	50	36	97	43	44
68	54	10	74	45	92	96	27	91	67
4	9	68	87	48	88	98	27	54	52
1	79	9	77	6	83	54	30	99	18
9	45	3	14	87	75	23	48	92	67
88	94	52	71	28	46	95	11	43	59
19	11	80	87	26	1	40	48	97	46
25	90	62	91	64	12	89	31	71	39
2	14	89	38	13	36	86	2	36	35
79	33	38	78	41	26	76	38	19	39
58	91	26	64	86	5	48	53	64	64
82	31	80	38	45	87	78	79	49	44
74	90	76	93	26	20	58	22	82	75
59	79	100	93	5	40	84	81	99	43
84	72	57	28	67	83	31	69	48	66
65	3	93	17	2	13	20	77	89	1
51	49	82	18	22	4	14	85	48	10
78	41	97	46	83	60	91	52	91	68
50	15	25	9	97	68	77	92	62	82
23	49	4	87	42	60	16	30	19	8
12	90	32	15	79	51	52	98	100	16
42	70	67	38	19	70	35	28	22	15
46	35	89	1	95	6	43	92	47	74
61	81	32	92	14	42	90	79	59	11
37	19	70	12	43	67	89	30	47	7
99	15	50	95	74	86	2	3	81	45
12	90	89	1	21	77	17	18	53	97
89	27	50	18	100	82	92	33	41	97
27	23	82	71	55	98	91	63	77	84
54	46	75	10	30	83	97	73	100	11
82	26	78	2	39	92	98	80	83	53
10	68	13	62	35	93	36	65	6	33
11	75	31	33	23	80	95	41	28	82
33	62	98	73	68	1	41	34	56	47
79	71	35	1	70	57	92	39	29	87
50	84	8	9	64	79	88	78	5	21
67	17	58	99	86	86	13	47	76	13
21	20	89	33	3	11	6	50	63	5
70	64	28	9	47	91	65	11	70	40
68	76	16	25	63	56	36	28	82	47
74	4	58	49	10	2	88	39	4	55
8	9	3	81	75	20	61	83	82	53
4	55	45	5	43	45	68	24	85	95
94	47	49	23	86	65	77	59	67	82
6	62	55	98	60	83	31	53	77	2
7	62	81	62	24	40	58	82	21	92
68	98	91	92	64	35	54	59	64	39
29	68	16	82	63	25	79	51	42	75
37	86	94	22	92	41	60	31	26	3
80	40	39	34	94	32	40	49	80	14
97	2	16	34	52	60	81	65	83	46
76	80	76	77	95	18	51	20	87	83
92	46	42	25	44	78	12	60	59	83
42	58	9	69	36	57	6	51	1	71
14	91	77	74	60	19	75	57	80	54
31	87	25	59	14	59	5	18	15	80
57	19	38	34	68	67	76	8	53	72
36	58	87	81	81	77	39	88	16	62
76	59	12	22	51	86	33	69	14	19
99	50	47	82	36	2	67	53	19	25
94	46	3	14	89	25	19	25	8	60
79	64	21	2	23	15	35	78	92	43
15	56	54	46	47	19	92	26	83	35
34	100	94	96	30	11	30	20	56	17
79	17	79	72	26	8	90	22	27	9
22	87	35	39	13	70	32	20	86	86
49	45	74	95	94	52	59	30	23	26
75	33	78	60	15	1	100	39	75	52
44	96	1	79	64	98	93	59	93	3
45	8	98	65	36	29	11	5	64	67
62	6	75	50	84	6	85	1	3	77
55	30	47	47	84	5	87	20	77	4
70	55	91	87	84	14	77	85	25	94
63	65	58	2	36	74	6	43	15	71
51	72	74	97	66	78	20	78	73	66
82	36	29	1	56	69	46	77	69	62
58	75	8	15	35	77	31	8	34	59
71	58	18	32	48	23	15	86	21	72
37	59	80	91	27	37	4	81	45	57
45	17	47	27	42	13	14	77	46	54
76	5	46	99	95	33	100	63	6	97
45	61	7	77	99	75	32	25	45	20
49	91	5	62	98	73	60	10	49	40
71	2	3	35	88	91	19	49	56	89
73	20	30	94	13	88	34	3	45	73
79	31	27	14	59	83	62	93	38	98
54	38	59	6	34	51	34	55	59	81
95	88	32	89	61	87	48	98	99	66
79	67	28	87	90	46	71	49	74	73
72	90	38	29	65	29	99	83	51	17
26	37	86	30	23	4	3	34	32	58
23	73	45	84	68	84	16	49	43	47
89	86	52	13	19	48	27	31	35	90
18	56	90	25	41	65	95	78	68	71
35	72	79	89	9	63	45	45	90	85
28	83	76	77	8	57	59	7	85	36
83	84	53	66	87	14	72	24	91	54
70	33	4	56	69	46	51	3	2	48
31	16	10	40	51	49	59	77	70	76
14	45	60	85	20	99	87	7	46	50
25	21	41	74	3	87	7	95	26	22
69	60	5	4	81	31	41	64	21	65
30	88	11	73	59	88	95	26	23	6
41	24	15	63	45	5	62	68	98	34
32	38	54	31	61	25	68	40	57	87
98	37	61	95	18	14	73	30	97	14
14	65	94	58	36	23	78	61	34	9
43	59	82	49	91	86	30	39	59	92
16	85	96	86	56	85	91	64	76	5
29	8	25	63	85	59	1	29	71	63
12	59	32	63	24	27	43	77	74	29
83	79	72	30	89	7	63	74	39	12
53	59	36	86	51	4	49	19	57	3
